"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","clean","uncommon"
"Gov. Cuomo declines to press Christie on cap and trade  http://t.co/2ZSolp8MuW",FALSE,0,NA,2015-10-09 13:20:34,FALSE,NA,"A652473732267679744",NA,"<a href=""http://www.squarespace.com"" rel=""nofollow"">Squarespace</a>","CoalitionForRNG",0,FALSE,FALSE,"-121.4932278","38.5781832","gov cuomo declines to press christie on cap and trade  ","gov cuomo declines press christie cap trade "
": Get the facts #madizm #tapthatash  #Arizona #newjersey and especially #candidates thank you #doctor #itheals... http://t.co/eXr5a9U0cL""",FALSE,0,NA,2015-10-10 14:57:39,FALSE,NA,"A652860550502744064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kimdraughan",0,FALSE,FALSE,"-112.0675936","33.3933745"," get the facts madizm tapthatash  arizona newjersey and especially candidates thank you doctor itheals "," get facts madizm tapthatash  arizona newjersey especially candidates thank doctor itheals"
"Christie Files Eminent Domain Against “Selfish” Margate City: Chris Christie photo via the New Jersey Office of the… http://t.co/iLwdrAXsMB",FALSE,0,NA,2015-10-09 17:08:05,FALSE,NA,"A652530987134418944",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","PhiladelphiaCP",0,FALSE,FALSE,"-75.16645509","39.93997834","christie files eminent domain against selfish margate city chris christie photo via the new jersey office of the ","christie files eminent domain selfish margate city chris christie photo via new jersey office"
"@Sethrogen Fuck Ben Carson, if he becomes Prez come home! #ilovemyhomelandcanada",FALSE,0,"Sethrogen",2015-10-10 23:43:02,FALSE,NA,"A652992768374087682","A443215941","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hanley_pam",0,FALSE,FALSE,"-73.5845815","45.4469825","sethrogen fuck ben carson if he becomes prez come home ilovemyhomelandcanada","sethrogen fuck ben carson becomes prez come home ilovemyhomelandcanada"
"Just had the awesome privilege of meeting Dr. BEN CARSON! I, as well as many others, am inspired by… https://t.co/HQshxXMhxD",FALSE,7,NA,2015-10-10 23:25:59,FALSE,NA,"A652988475503943680",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","dminor85",0,FALSE,FALSE,"-84.07908355","33.98190498","just had the awesome privilege of meeting dr ben carson i as well as many others am inspired by ","just awesome privilege meeting dr ben carson well many others inspired"
"Ladies and Gentleman..... The next president of the United States...... Dr. Ben Carson (or possibly a… https://t.co/7LxCEVu5Bn",FALSE,0,NA,2015-10-10 22:56:50,FALSE,NA,"A652981140085673984",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","nicholasstewart",0,FALSE,FALSE,"-84.07908355","33.98190498","ladies and gentleman the next president of the united states dr ben carson or possibly a ","ladies gentleman next president united states dr ben carson possibly"
"Let's face it people; You can't get change for nothing!!!!<ed><U+00A0><U+00BD><ed><U+00B8><U+0087>

RT @TheDailyEdge: Ben Carson (cont) http://t.co/HSUI0Xz03o",FALSE,0,NA,2015-10-10 22:38:33,FALSE,NA,"A652976541991768065",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","Werdnat",0,FALSE,FALSE,"-101.89214434","33.62162162","lets face it people you cant get change for nothingrt thedailyedge ben carson cont ","lets face people cant get change nothingrt thedailyedge ben carson cont"
"Ben Carson book signing (@ Books-A-Million in Lawrenceville, GA) https://t.co/dGbQ5EFjzU http://t.co/1zTvDTrgfD",FALSE,0,NA,2015-10-10 22:02:38,FALSE,NA,"A652967499844165633",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","dervari",0,FALSE,FALSE,"-84.0790651","33.98190213","ben carson book signing  booksamillion in lawrenceville ga ","ben carson book signing  booksamillion lawrenceville ga"
"RT @JamilSmith: No one is “lynching” Ben Carson. He is still alive. Some words need to be retired as metaphors. http://t.co/SmlqrpBIHu",FALSE,0,NA,2015-10-10 21:11:48,FALSE,NA,"A652954708731015168",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","sheilahawk",42,TRUE,FALSE,NA,NA,"rt jamilsmith no one is lynching ben carson he is still alive some words need to be retired as metaphors ","rt jamilsmith one lynching ben carson still alive words need retired metaphors"
"RT @Pqlyur1: 2001 Todd Beamer: ""Let's roll."" Libs: Hero.
2015 Ben Carson: ""Everybody should rush the shooter."" Libs: F*ck you!",FALSE,0,NA,2015-10-10 20:42:31,FALSE,NA,"A652947337644519424",NA,"<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","FCrackr",5,TRUE,FALSE,NA,NA,"rt pqlyur1 2001 todd beamer ""lets roll"" libs hero2015 ben carson ""everybody should rush the shooter"" libs fck you","rt pqlyur1 2001 todd beamer ""lets roll"" libs hero2015 ben carson ""everybody rush shooter"" libs fck"
