"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","clean","uncommon"
"As Hurricane Joaquin veers seaward, NJ officials still counsel vigilance: New Jersey Gov. Chris Christie, who took… http://t.co/WUWQ5giC43",FALSE,0,NA,2015-10-03 00:28:05,FALSE,NA,"A650105001629450242",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","PhiladelphiaCP",0,FALSE,FALSE,"-75.16645509","39.93997834","as hurricane joaquin veers seaward nj officials still counsel vigilance new jersey gov chris christie who took ","hurricane joaquin veers seaward nj officials still counsel vigilance new jersey gov chris christie took"
"Christie: I'd Rather Jump Off Bridge Than Be In Congress: Chris Christie wants to come to Washington. Just don't… http://t.co/bwGP7RtjZv",FALSE,0,NA,2015-10-04 18:24:25,FALSE,NA,"A650738258964426752",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","ColumbusCP",0,FALSE,FALSE,"-82.99527267","39.96378925","christie id rather jump off bridge than be in congress chris christie wants to come to washington just dont ","christie id rather jump bridge congress chris christie wants come washington just dont"
"Christie Taken To Task Over Political Use Of State Helicopter: New Jersey Governor Chris Christie is being… http://t.co/dxhr9LMYiH",FALSE,0,NA,2015-10-04 08:37:15,FALSE,NA,"A650590494464962560",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","PhiladelphiaCP",0,FALSE,FALSE,"-75.16645509","39.93997834","christie taken to task over political use of state helicopter new jersey governor chris christie is being ","christie taken task political use state helicopter new jersey governor chris christie"
"WOW! Ben Carson Takes Action Against This Radical Muslim Organization [Video] http://t.co/NaO04KthYg",FALSE,0,NA,2015-10-04 21:24:13,FALSE,NA,"A650783505882988544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FLifeforce",0,FALSE,FALSE,"-84.7506183","42.7564492","wow ben carson takes action against this radical muslim organization video ","wow ben carson takes action radical muslim organization video"
"The View Dissin' Ben Carson - http://t.co/c2DbG55SgF",FALSE,0,NA,2015-10-04 21:06:48,FALSE,NA,"A650779121904017408",NA,"<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","keithh1981",0,FALSE,FALSE,"-87.8513462","42.6977125","the view dissin ben carson  ","view dissin ben carson "
"RT @JoeyKohm: Dr. Ben Carson was on-point last night at the #CLSNOLA15 keynote banquet; it was such a blessing to… https://t.co/n4wJtgV5bz",FALSE,0,NA,2015-10-04 18:47:31,FALSE,NA,"A650744072999706624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LynneMarieKohm",1,TRUE,FALSE,NA,NA,"rt joeykohm dr ben carson was onpoint last night at the clsnola15 keynote banquet it was such a blessing to ","rt joeykohm dr ben carson onpoint last night clsnola15 keynote banquet blessing"
"Dr. Ben Carson was on-point last night at the #CLSNOLA15 keynote banquet; it was such a blessing to… https://t.co/n4wJtgV5bz",FALSE,2,NA,2015-10-04 18:44:58,FALSE,NA,"A650743430205693953",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","JoeyKohm",1,FALSE,FALSE,"-90.0702667","29.9502296","dr ben carson was onpoint last night at the clsnola15 keynote banquet it was such a blessing to ","dr ben carson onpoint last night clsnola15 keynote banquet blessing"
"omg we're screwd RT @Libertea2012: Ben Carson Wants 2 Know Where Gravity Comes From http://t.co/OzHJFs6QIZ #UniteBlue http://t.co/6Wh9MQQlgX",FALSE,0,NA,2015-10-04 14:49:10,FALSE,NA,"A650684086936305664",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","roughtradeX",0,FALSE,FALSE,"-75.1756853","39.9472307","omg were screwd rt libertea2012 ben carson wants 2 know where gravity comes from ","omg screwd rt libertea2012 ben carson wants 2 know gravity comes"
"The AMAZING Dr. Ben Carson, y'all!! #PresidentialCandidate #DrBenCarson #CLSNOLA15… https://t.co/hIqDuUulgV",FALSE,1,NA,2015-10-04 04:26:16,FALSE,NA,"A650527332416012288",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ChelseaHark",0,FALSE,FALSE,"-90.0702667","29.9502296","the amazing dr ben carson yall presidentialcandidate drbencarson clsnola15 ","amazing dr ben carson yall presidentialcandidate drbencarson clsnola15"
"Dr Ben Carson speaking at the 2015 Christian Legal Society conference. @… https://t.co/YiCFe5788l",FALSE,0,NA,2015-10-04 01:50:00,FALSE,NA,"A650488003362729984",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","TheZackWalden",0,FALSE,FALSE,"-90.059","29.9728","dr ben carson speaking at the 2015 christian legal society conference  ","dr ben carson speaking 2015 christian legal society conference "
